[2025-09-25 12:02:04,183][contrast_train.py][line:362][INFO] Epoch [039/200] Train Loss: 1.1647 (CE 0.8177, Con 0.0000, RegionCon 3.3644, Reg 0.010607) | Train Acc: 0.7496 | Test Acc: 0.7358 | LR: 0.000500
[2025-09-25 12:05:53,643][contrast_train.py][line:362][INFO] Epoch [040/200] Train Loss: 1.1497 (CE 0.8016, Con 0.0000, RegionCon 3.3755, Reg 0.010626) | Train Acc: 0.7588 | Test Acc: 0.7443 | LR: 0.000250
[2025-09-25 12:09:42,566][contrast_train.py][line:362][INFO] Epoch [041/200] Train Loss: 1.0934 (CE 0.7477, Con 0.0000, RegionCon 3.3566, Reg 0.010115) | Train Acc: 0.7691 | Test Acc: 0.7638 | LR: 0.000250
[2025-09-25 12:13:32,221][contrast_train.py][line:362][INFO] Epoch [042/200] Train Loss: 1.0667 (CE 0.7228, Con 0.0000, RegionCon 3.3377, Reg 0.010126) | Train Acc: 0.7755 | Test Acc: 0.7650 | LR: 0.000250
[2025-09-25 12:17:21,967][contrast_train.py][line:362][INFO] Epoch [043/200] Train Loss: 1.0673 (CE 0.7226, Con 0.0000, RegionCon 3.3442, Reg 0.010213) | Train Acc: 0.7769 | Test Acc: 0.7682 | LR: 0.000250
[2025-09-25 12:21:11,154][contrast_train.py][line:362][INFO] Epoch [044/200] Train Loss: 1.0640 (CE 0.7192, Con 0.0000, RegionCon 3.3508, Reg 0.009754) | Train Acc: 0.7801 | Test Acc: 0.7666 | LR: 0.000250
[2025-09-25 12:25:01,181][contrast_train.py][line:362][INFO] Epoch [045/200] Train Loss: 1.0518 (CE 0.7077, Con 0.0000, RegionCon 3.3478, Reg 0.009291) | Train Acc: 0.7806 | Test Acc: 0.7686 | LR: 0.000250
[2025-09-25 12:28:51,188][contrast_train.py][line:362][INFO] Epoch [046/200] Train Loss: 1.0533 (CE 0.7104, Con 0.0000, RegionCon 3.3312, Reg 0.009768) | Train Acc: 0.7802 | Test Acc: 0.7755 | LR: 0.000250
[2025-09-25 12:32:40,327][contrast_train.py][line:362][INFO] Epoch [047/200] Train Loss: 1.0507 (CE 0.7071, Con 0.0000, RegionCon 3.3392, Reg 0.009664) | Train Acc: 0.7767 | Test Acc: 0.7747 | LR: 0.000250
[2025-09-25 12:36:32,474][contrast_train.py][line:362][INFO] Epoch [048/200] Train Loss: 1.0404 (CE 0.6969, Con 0.0000, RegionCon 3.3402, Reg 0.009505) | Train Acc: 0.7828 | Test Acc: 0.7735 | LR: 0.000250
[2025-09-25 12:40:27,340][contrast_train.py][line:362][INFO] Epoch [049/200] Train Loss: 1.0277 (CE 0.6856, Con 0.0000, RegionCon 3.3310, Reg 0.009067) | Train Acc: 0.7889 | Test Acc: 0.7759 | LR: 0.000250
[2025-09-25 12:44:22,862][contrast_train.py][line:362][INFO] Epoch [050/200] Train Loss: 1.0284 (CE 0.6861, Con 0.0000, RegionCon 3.3286, Reg 0.009397) | Train Acc: 0.7859 | Test Acc: 0.7739 | LR: 0.000250
[2025-09-25 12:48:15,741][contrast_train.py][line:362][INFO] Epoch [051/200] Train Loss: 1.0285 (CE 0.6859, Con 0.0000, RegionCon 3.3330, Reg 0.009291) | Train Acc: 0.7853 | Test Acc: 0.7934 | LR: 0.000250
[2025-09-25 12:52:08,378][contrast_train.py][line:362][INFO] Epoch [052/200] Train Loss: 1.0133 (CE 0.6714, Con 0.0000, RegionCon 3.3254, Reg 0.009336) | Train Acc: 0.7859 | Test Acc: 0.7715 | LR: 0.000250
[2025-09-25 12:55:58,239][contrast_train.py][line:362][INFO] Epoch [053/200] Train Loss: 1.0063 (CE 0.6638, Con 0.0000, RegionCon 3.3365, Reg 0.008827) | Train Acc: 0.7891 | Test Acc: 0.7711 | LR: 0.000250
[2025-09-25 12:59:47,284][contrast_train.py][line:362][INFO] Epoch [054/200] Train Loss: 1.0098 (CE 0.6685, Con 0.0000, RegionCon 3.3247, Reg 0.008787) | Train Acc: 0.7894 | Test Acc: 0.7771 | LR: 0.000250
[2025-09-25 13:03:35,577][contrast_train.py][line:362][INFO] Epoch [055/200] Train Loss: 1.0031 (CE 0.6615, Con 0.0000, RegionCon 3.3268, Reg 0.008915) | Train Acc: 0.7895 | Test Acc: 0.7808 | LR: 0.000250
[2025-09-25 13:07:24,485][contrast_train.py][line:362][INFO] Epoch [056/200] Train Loss: 0.9921 (CE 0.6494, Con 0.0000, RegionCon 3.3397, Reg 0.008705) | Train Acc: 0.7949 | Test Acc: 0.7990 | LR: 0.000250
[2025-09-25 13:11:15,194][contrast_train.py][line:362][INFO] Epoch [057/200] Train Loss: 0.9872 (CE 0.6462, Con 0.0000, RegionCon 3.3234, Reg 0.008626) | Train Acc: 0.7955 | Test Acc: 0.7966 | LR: 0.000250
[2025-09-25 13:15:04,207][contrast_train.py][line:362][INFO] Epoch [058/200] Train Loss: 0.9823 (CE 0.6418, Con 0.0000, RegionCon 3.3170, Reg 0.008820) | Train Acc: 0.7962 | Test Acc: 0.8071 | LR: 0.000250
[2025-09-25 13:18:52,738][contrast_train.py][line:362][INFO] Epoch [059/200] Train Loss: 0.9775 (CE 0.6370, Con 0.0000, RegionCon 3.3168, Reg 0.008881) | Train Acc: 0.7950 | Test Acc: 0.7946 | LR: 0.000250
[2025-09-25 13:22:42,944][contrast_train.py][line:362][INFO] Epoch [060/200] Train Loss: 0.9779 (CE 0.6364, Con 0.0000, RegionCon 3.3278, Reg 0.008763) | Train Acc: 0.7941 | Test Acc: 0.7958 | LR: 0.000125
[2025-09-25 13:26:32,416][contrast_train.py][line:362][INFO] Epoch [061/200] Train Loss: 0.9539 (CE 0.6124, Con 0.0000, RegionCon 3.3315, Reg 0.008415) | Train Acc: 0.8039 | Test Acc: 0.8116 | LR: 0.000125
[2025-09-25 13:30:21,132][contrast_train.py][line:362][INFO] Epoch [062/200] Train Loss: 0.9353 (CE 0.5952, Con 0.0000, RegionCon 3.3174, Reg 0.008358) | Train Acc: 0.8118 | Test Acc: 0.8059 | LR: 0.000125
[2025-09-25 13:34:09,477][contrast_train.py][line:362][INFO] Epoch [063/200] Train Loss: 0.9327 (CE 0.5934, Con 0.0000, RegionCon 3.3107, Reg 0.008247) | Train Acc: 0.8102 | Test Acc: 0.8067 | LR: 0.000125
[2025-09-25 13:37:57,473][contrast_train.py][line:362][INFO] Epoch [064/200] Train Loss: 0.9308 (CE 0.5915, Con 0.0000, RegionCon 3.3114, Reg 0.008224) | Train Acc: 0.8099 | Test Acc: 0.8055 | LR: 0.000125
[2025-09-25 13:41:45,717][contrast_train.py][line:362][INFO] Epoch [065/200] Train Loss: 0.9162 (CE 0.5781, Con 0.0000, RegionCon 3.2989, Reg 0.008164) | Train Acc: 0.8176 | Test Acc: 0.8201 | LR: 0.000125
[2025-09-25 13:45:34,637][contrast_train.py][line:362][INFO] Epoch [066/200] Train Loss: 0.9340 (CE 0.5942, Con 0.0000, RegionCon 3.3170, Reg 0.008167) | Train Acc: 0.8074 | Test Acc: 0.8165 | LR: 0.000125
[2025-09-25 13:49:23,054][contrast_train.py][line:362][INFO] Epoch [067/200] Train Loss: 0.9191 (CE 0.5799, Con 0.0000, RegionCon 3.3136, Reg 0.007810) | Train Acc: 0.8184 | Test Acc: 0.7917 | LR: 0.000125
[2025-09-25 13:53:12,728][contrast_train.py][line:362][INFO] Epoch [068/200] Train Loss: 0.9145 (CE 0.5770, Con 0.0000, RegionCon 3.2965, Reg 0.007807) | Train Acc: 0.8152 | Test Acc: 0.8039 | LR: 0.000125
[2025-09-25 13:57:06,951][contrast_train.py][line:362][INFO] Epoch [069/200] Train Loss: 0.9092 (CE 0.5695, Con 0.0000, RegionCon 3.3200, Reg 0.007700) | Train Acc: 0.8163 | Test Acc: 0.8083 | LR: 0.000125
[2025-09-25 14:00:57,002][contrast_train.py][line:362][INFO] Epoch [070/200] Train Loss: 0.9075 (CE 0.5694, Con 0.0000, RegionCon 3.3041, Reg 0.007676) | Train Acc: 0.8165 | Test Acc: 0.8027 | LR: 0.000125
[2025-09-25 14:04:45,419][contrast_train.py][line:362][INFO] Epoch [071/200] Train Loss: 0.9080 (CE 0.5701, Con 0.0000, RegionCon 3.3053, Reg 0.007405) | Train Acc: 0.8166 | Test Acc: 0.8035 | LR: 0.000125
[2025-09-25 14:08:37,262][contrast_train.py][line:362][INFO] Epoch [072/200] Train Loss: 0.9017 (CE 0.5636, Con 0.0000, RegionCon 3.3068, Reg 0.007436) | Train Acc: 0.8250 | Test Acc: 0.8193 | LR: 0.000125
[2025-09-25 14:12:28,407][contrast_train.py][line:362][INFO] Epoch [073/200] Train Loss: 0.8962 (CE 0.5590, Con 0.0000, RegionCon 3.2992, Reg 0.007322) | Train Acc: 0.8207 | Test Acc: 0.8039 | LR: 0.000125
[2025-09-25 14:16:17,966][contrast_train.py][line:362][INFO] Epoch [074/200] Train Loss: 0.8976 (CE 0.5590, Con 0.0000, RegionCon 3.3095, Reg 0.007690) | Train Acc: 0.8173 | Test Acc: 0.8104 | LR: 0.000125
[2025-09-25 14:20:07,627][contrast_train.py][line:362][INFO] Epoch [075/200] Train Loss: 0.9096 (CE 0.5709, Con 0.0000, RegionCon 3.3102, Reg 0.007657) | Train Acc: 0.8184 | Test Acc: 0.8156 | LR: 0.000125
[2025-09-25 14:23:56,645][contrast_train.py][line:362][INFO] Epoch [076/200] Train Loss: 0.8936 (CE 0.5561, Con 0.0000, RegionCon 3.2977, Reg 0.007698) | Train Acc: 0.8189 | Test Acc: 0.8112 | LR: 0.000125
[2025-09-25 14:27:45,465][contrast_train.py][line:362][INFO] Epoch [077/200] Train Loss: 0.8950 (CE 0.5567, Con 0.0000, RegionCon 3.3066, Reg 0.007694) | Train Acc: 0.8223 | Test Acc: 0.8173 | LR: 0.000125
[2025-09-25 14:31:35,587][contrast_train.py][line:362][INFO] Epoch [078/200] Train Loss: 0.8864 (CE 0.5493, Con 0.0000, RegionCon 3.2966, Reg 0.007365) | Train Acc: 0.8233 | Test Acc: 0.8059 | LR: 0.000125
[2025-09-25 14:35:23,733][contrast_train.py][line:362][INFO] Epoch [079/200] Train Loss: 0.8913 (CE 0.5533, Con 0.0000, RegionCon 3.3060, Reg 0.007325) | Train Acc: 0.8226 | Test Acc: 0.8116 | LR: 0.000125
[2025-09-25 14:39:12,072][contrast_train.py][line:362][INFO] Epoch [080/200] Train Loss: 0.8741 (CE 0.5358, Con 0.0000, RegionCon 3.3079, Reg 0.007454) | Train Acc: 0.8283 | Test Acc: 0.8128 | LR: 0.000063
[2025-09-25 14:43:01,489][contrast_train.py][line:362][INFO] Epoch [081/200] Train Loss: 0.8680 (CE 0.5307, Con 0.0000, RegionCon 3.2988, Reg 0.007368) | Train Acc: 0.8279 | Test Acc: 0.8136 | LR: 0.000063
[2025-09-25 14:46:50,340][contrast_train.py][line:362][INFO] Epoch [082/200] Train Loss: 0.8611 (CE 0.5244, Con 0.0000, RegionCon 3.2951, Reg 0.007223) | Train Acc: 0.8295 | Test Acc: 0.8221 | LR: 0.000063
[2025-09-25 14:50:39,854][contrast_train.py][line:362][INFO] Epoch [083/200] Train Loss: 0.8655 (CE 0.5287, Con 0.0000, RegionCon 3.2950, Reg 0.007379) | Train Acc: 0.8269 | Test Acc: 0.8165 | LR: 0.000063
[2025-09-25 14:54:29,945][contrast_train.py][line:362][INFO] Epoch [084/200] Train Loss: 0.8536 (CE 0.5162, Con 0.0000, RegionCon 3.3019, Reg 0.007183) | Train Acc: 0.8319 | Test Acc: 0.8229 | LR: 0.000063
[2025-09-25 14:58:19,069][contrast_train.py][line:362][INFO] Epoch [085/200] Train Loss: 0.8610 (CE 0.5235, Con 0.0000, RegionCon 3.3016, Reg 0.007316) | Train Acc: 0.8265 | Test Acc: 0.8241 | LR: 0.000063
[2025-09-25 15:02:07,978][contrast_train.py][line:362][INFO] Epoch [086/200] Train Loss: 0.8543 (CE 0.5179, Con 0.0000, RegionCon 3.2900, Reg 0.007364) | Train Acc: 0.8315 | Test Acc: 0.8225 | LR: 0.000063
[2025-09-25 15:05:56,214][contrast_train.py][line:362][INFO] Epoch [087/200] Train Loss: 0.8506 (CE 0.5149, Con 0.0000, RegionCon 3.2862, Reg 0.007166) | Train Acc: 0.8344 | Test Acc: 0.8160 | LR: 0.000063
[2025-09-25 15:09:45,396][contrast_train.py][line:362][INFO] Epoch [088/200] Train Loss: 0.8427 (CE 0.5063, Con 0.0000, RegionCon 3.2917, Reg 0.007199) | Train Acc: 0.8411 | Test Acc: 0.8213 | LR: 0.000063
[2025-09-25 15:13:34,339][contrast_train.py][line:362][INFO] Epoch [089/200] Train Loss: 0.8465 (CE 0.5106, Con 0.0000, RegionCon 3.2884, Reg 0.007071) | Train Acc: 0.8330 | Test Acc: 0.8169 | LR: 0.000063
[2025-09-25 15:17:24,573][contrast_train.py][line:362][INFO] Epoch [090/200] Train Loss: 0.8421 (CE 0.5046, Con 0.0000, RegionCon 3.3041, Reg 0.007132) | Train Acc: 0.8394 | Test Acc: 0.8229 | LR: 0.000063
[2025-09-25 15:21:13,786][contrast_train.py][line:362][INFO] Epoch [091/200] Train Loss: 0.8479 (CE 0.5118, Con 0.0000, RegionCon 3.2924, Reg 0.006845) | Train Acc: 0.8321 | Test Acc: 0.8233 | LR: 0.000063
